"Word"	"PoSes"	"FqBand"	"OECRank"	"CEFRLevel"	"NextWord1"	"NextWord2"	"NextWord3"	"Length"	"Reps"	"Count"	"Verse"	"Bridge"	"Chorus"	"Refrain"	"InOut"	"Albums"	"Songs"	"AlbumOccurrences"
"comes"	"Verb"	2	76	"A1"	"again#1"	"around#1"	"back#1"	5	0	25	8	3	12	0	2	9	17	"FER#3, SPN#1, RED#5, LVR#4, FOL#1, ...MANY"
"comin'"	"Verb, Cont"	2	76	"A1"	"home#6"	"undone#6"	"down#4"	6	0	44	8	1	34	0	1	7	17	"FER#9, SPN#1, RED#9, NEN#4, REP#3, ...MANY"
"its"	"Arti"	4	77	"A1"	"consequence#1"	"meaning#1"	"sweet#1"	3	0	6	4	1	1	0	0	3	5	"SPN#1, RED#3, MID#2"
"over"	"Prep, Adve, Noun, Adje"	3	78	"A1"	"now#4"	"when#4"	"again#3"	4	0	87	20	13	50	0	4	12	41	"FER#7, SPN#5, RED#4, NEN#19, REP#11, ...MANY"
"think"	"Verb, Noun"	1	79	"A1"	"it's#13"	"i'm#8"	"i've#8"	5	0	244	52	26	146	0	20	13	77	"TSW#26, FER#11, SPN#19, RED#35, NEN#30, ...MANY"
"thinks"	"Verb, Noun"	1	79	"A1"	"i'm#1"	"it's#1"	""	6	0	7	4	1	1	0	1	4	7	"SPN#2, REP#2, EVE#1, MID#2"
"back"	"Adve, Noun, Verb, Adje"	3	81	"A1"	"together#20"	"when#12"	"door#7"	4	0	309	87	35	162	4	21	13	116	"TSW#25, FER#31, SPN#44, RED#59, NEN#50, ...MANY"
"after"	"Prep, Conj, Adve, Adje"	3	82	"A1"	"breakin'#3"	"everything#3"	"another#2"	5	0	30	19	1	8	0	2	9	17	"TSW#2, FER#7, SPN#1, RED#3, REP#5, ...MANY"
"use"	"Verb, Noun"	3	83	"A1"	"defending#2"	"against#1"	""	3	0	10	3	0	7	0	0	5	6	"TSW#2, SPN#1, REP#1, EVE#2, TPD#4"
"uses"	"Verb, Noun"	3	83	"A1"	"typewriters#1"	""	""	4	0	1	1	0	0	0	0	1	1	"TPD#1"
"usin'"	"Verb, Cont"	3	83	"A1"	"i'll#1"	""	""	5	0	12	0	2	8	0	2	1	1	"REP#12"
"two"	"Numb"	3	84	"A1"	"three#10"	"headlights#3"	"are#1"	3	0	38	12	7	17	0	2	10	20	"TSW#3, SPN#1, RED#3, NEN#2, REP#1, ...MANY"
"how"	"Adve"	2	85	"A1"	"much#14"	"can#9"	"did#7"	3	0	187	57	28	95	1	6	13	79	"TSW#8, FER#20, SPN#25, RED#31, NEN#31, ...MANY"
"our"	"Arti"	2	86	"A1"	"hands#9"	"love#9"	"song#9"	3	0	119	38	19	58	0	4	12	54	"TSW#22, FER#6, SPN#11, RED#6, NEN#10, ...MANY"
"work"	"Verb, Noun"	3	87	"A1"	"your#2"	""	""	4	0	12	8	0	3	0	1	7	10	"TSW#1, FER#1, SPN#2, LVR#2, FOL#2, ...MANY"
"first"	"Numb, Adve, Noun"	3	88	"A1"	"time#27"	"string#9"	"night#8"	5	0	109	32	13	60	0	4	11	41	"TSW#11, FER#8, SPN#13, RED#11, NEN#1, ...MANY"
